"letter","xbox","ybox","width","height","onpix","xbar","ybar","x2bar","y2bar","xybar","x2ybar","xy2bar","xedge","xedgey","yedge","yedgex","RowID"
"F",4,7,7,5,6,7,9,1,5,10,6,6,5,10,4,5,6414
"N",5,6,7,4,4,4,10,3,NA,9,9,8,5,8,1,7,15508
"X",8,15,8,8,5,4,9,3,8,11,11,9,4,9,3,5,9971
"O",4,9,5,6,4,7,7,8,6,7,3,8,3,8,3,8,14090
"H",5,8,8,6,5,10,7,4,6,10,3,6,3,8,3,8,16600
"X",3,7,5,5,2,9,7,1,8,10,4,7,3,8,3,8,1874
"W",5,11,7,8,9,8,7,6,2,7,8,8,6,8,4,8,5266
"Q",2,0,2,1,1,8,7,6,4,6,6,9,2,8,3,8,2074
"P",4,10,4,7,2,4,10,10,3,9,6,4,2,10,4,8,2021
"U",8,13,8,7,5,6,6,4,5,6,7,8,5,6,3,7,17443
"E",3,3,4,5,2,3,7,6,10,7,6,14,0,8,7,7,7396
"R",4,5,5,7,3,5,10,9,4,7,4,8,3,7,6,11,3997
"N",3,6,3,4,2,7,7,13,1,5,6,8,5,8,NA,8,14700
"N",3,5,6,4,3,9,8,3,5,10,3,5,5,9,1,8,4609
"E",7,10,5,5,4,7,8,4,4,10,5,9,3,8,9,11,10155
"L",3,6,5,4,3,6,4,0,8,8,3,11,0,8,2,8,15273
"L",5,11,7,8,5,5,3,6,8,2,2,4,1,6,1,5,1136
"B",5,11,6,8,8,8,7,4,6,7,6,6,6,8,6,10,8455
"U",4,8,4,6,2,8,5,13,5,6,14,8,3,9,0,8,15965
"A",5,11,7,9,5,8,3,3,1,7,2,8,5,8,5,10,4430
"D",3,8,3,6,2,5,7,10,8,6,6,5,3,8,4,8,5263
"C",5,10,5,8,3,6,8,7,7,13,7,9,2,11,3,7,1238
"L",1,3,3,NA,1,6,4,1,7,7,2,9,0,7,2,8,6881
"F",3,5,3,4,2,6,10,4,5,10,9,4,2,10,2,6,15394
"Q",5,8,5,9,7,8,6,7,4,9,7,8,4,9,5,7,17057
"V",4,10,7,7,2,7,8,4,3,7,14,8,3,9,0,8,10771
"W",2,0,2,1,1,7,8,3,0,7,8,8,6,9,0,8,1242
"R",7,12,7,6,5,11,5,3,5,10,3,8,6,8,6,10,1483
"T",5,10,7,8,6,8,11,2,NA,6,11,8,1,12,1,8,16706
"P",1,0,1,0,0,5,10,6,1,9,6,5,1,9,2,8,11852
"D",6,14,6,8,4,11,4,2,6,9,3,7,5,7,4,12,12670
"R",3,2,4,4,3,7,8,5,5,6,5,6,3,7,4,8,1993
"O",2,1,3,2,2,7,7,7,5,7,6,8,2,8,3,8,7374
"G",3,5,4,3,2,6,7,5,5,9,7,10,2,8,4,9,1403
"V",7,11,7,8,4,2,12,2,3,9,11,8,2,10,1,7,3204
"C",4,9,5,7,3,6,8,9,8,9,8,12,2,10,4,9,10598
"O",4,7,5,5,3,7,8,8,5,7,7,9,3,8,3,8,13005
"G",1,3,2,1,1,7,7,4,5,9,7,10,1,9,3,10,15812
"Y",9,15,8,8,4,7,8,4,4,10,7,5,4,9,5,3,4154
"G",6,10,8,7,6,6,6,6,6,6,6,10,4,8,5,9,17808
"K",3,5,6,4,3,5,8,2,7,10,9,10,3,8,3,7,6354
"C",3,5,4,4,2,6,8,7,7,9,8,12,2,10,4,10,7267
"I",2,9,2,6,2,7,7,0,8,7,6,8,0,8,3,8,18819
"J",2,3,2,4,1,10,3,10,3,12,8,13,1,6,0,8,15646
"V",2,0,3,1,0,7,9,NA,2,7,13,8,2,10,0,8,4673
"E",3,5,4,4,3,7,8,5,8,7,5,9,2,8,6,9,3554
"H",7,11,10,8,7,4,9,4,6,10,9,9,3,8,4,7,15634
"E",4,5,5,8,3,3,8,6,12,7,5,15,0,8,7,7,14074
"G",3,7,4,5,2,8,7,8,7,6,6,9,2,7,5,11,2493
"R",5,5,5,6,3,5,12,9,4,7,3,9,3,7,6,11,6158
"J",1,3,2,2,0,9,6,3,6,14,6,10,0,7,0,8,2499
"P",6,11,8,8,5,7,11,6,4,12,5,2,1,11,4,NA,4727
"B",3,3,4,4,3,7,7,6,5,7,6,6,2,8,6,10,429
"K",11,13,10,8,4,8,8,3,8,9,4,6,5,7,4,7,15399
"N",3,4,5,3,2,7,9,3,4,10,6,6,5,9,0,7,9413
"H",4,2,5,3,4,7,7,6,6,7,6,8,3,8,3,9,1365
"H",7,10,10,8,6,10,6,3,6,10,3,7,5,7,5,9,19257
"K",4,7,5,5,6,7,9,5,4,8,5,8,4,6,6,10,7092
"Y",4,7,4,5,2,4,9,2,6,10,11,6,1,11,2,5,1371
"G",4,10,5,7,4,5,6,6,5,9,8,11,2,9,4,10,13689
"G",6,8,8,6,7,7,10,6,5,6,6,8,5,6,7,7,17333
"W",4,4,6,3,3,8,11,2,2,6,9,8,7,11,0,7,8423
"X",4,6,5,5,5,7,9,2,6,8,6,8,3,6,6,7,4789
"Y",8,11,8,8,4,3,11,2,9,12,11,5,0,10,2,4,10612
"I",4,NA,6,7,5,8,8,5,6,7,6,8,3,8,8,7,15109
"T",7,8,7,6,5,7,10,3,7,10,9,5,4,11,5,5,7194
"I",2,2,1,3,1,7,7,1,8,7,6,8,0,8,3,8,18743
"D",6,9,8,8,7,6,7,5,8,7,5,8,5,5,7,4,6509
"I",1,11,0,8,0,7,7,4,4,7,6,8,0,8,0,8,14098
"X",4,6,6,4,3,8,7,2,8,10,5,8,3,8,4,8,3034
"T",2,8,3,5,1,7,14,0,6,7,11,8,0,8,0,8,13089
"P",0,0,1,0,0,5,10,6,1,9,6,5,1,9,2,8,5114
"T",3,1,4,3,2,7,12,4,6,7,11,8,2,11,1,8,3081
"C",4,7,4,5,3,4,7,5,6,11,9,14,1,9,3,9,9588
"D",4,7,4,5,2,6,7,10,9,7,7,6,3,8,4,8,6943
"W",4,9,6,6,3,6,8,4,2,7,8,8,8,10,0,8,5343
"P",3,9,4,6,2,5,9,10,5,8,6,5,2,9,4,8,9204
"U",3,6,4,5,4,6,7,5,4,6,5,9,4,8,1,8,3567
"J",3,11,4,8,3,9,6,2,7,12,3,8,1,6,2,6,15495
"M",6,9,8,8,11,7,7,4,4,6,6,8,11,8,5,5,13578
"B",4,6,5,4,4,7,9,5,6,10,6,6,2,8,6,8,13792
"K",3,7,4,5,3,6,7,4,7,6,6,9,3,8,5,9,647
"L",3,6,4,6,4,8,6,5,5,6,7,8,3,8,8,11,3347
"K",4,7,5,5,5,6,8,5,3,7,5,8,4,6,7,NA,3796
"U",4,7,5,5,2,7,4,13,5,7,15,8,3,9,0,8,9803
"B",5,9,5,7,7,6,7,8,5,7,6,7,2,8,7,9,448
"K",3,7,4,4,1,4,8,7,2,7,5,11,3,8,3,10,11301
"Z",4,6,6,4,4,7,8,2,8,12,7,8,1,9,6,7,9352
"V",5,8,5,6,2,2,11,6,4,13,12,8,2,10,1,7,10182
"A",5,10,9,7,6,7,5,2,4,5,1,6,5,7,5,5,11647
"D",4,8,4,6,2,5,7,11,8,7,6,5,3,8,4,8,8928
"K",3,6,NA,4,4,6,6,3,8,6,6,9,3,8,5,9,5696
"B",5,10,7,8,6,9,7,7,6,6,6,5,3,9,9,11,14030
"K",5,7,7,5,4,8,7,2,7,10,3,8,4,9,4,9,11288
"R",3,3,3,4,2,6,11,8,3,7,3,9,2,7,5,11,6119
"T",3,5,4,4,2,5,12,2,7,11,9,4,1,11,2,5,11594
"Z",3,8,4,6,3,7,8,3,11,8,6,8,0,8,7,7,19250
"T",3,1,4,3,2,7,12,4,6,7,11,8,2,11,1,8,16890
"R",4,8,6,6,4,10,7,4,7,10,1,7,3,6,4,11,18075
"H",5,8,7,6,7,6,7,6,6,7,6,10,3,8,3,9,4109
"I",2,6,4,4,3,11,6,1,5,9,4,5,1,8,5,9,17823
"M",5,5,8,4,4,6,6,3,4,10,9,10,10,5,3,9,15930
"C",5,9,4,5,1,6,8,6,7,11,7,9,2,9,5,9,11221
"Z",4,7,6,5,3,7,7,2,9,12,6,9,1,9,6,8,14705
"U",9,14,8,8,4,7,6,4,5,4,8,5,7,5,3,6,11225
"J",3,11,4,8,2,10,6,1,8,11,3,6,0,7,1,7,12857
"J",2,6,2,4,1,15,3,3,5,12,1,8,0,8,0,8,1048
"W",4,6,6,4,3,8,8,4,1,7,9,8,7,10,0,8,7331
"Q",7,9,8,11,7,NA,7,6,3,8,7,11,5,8,8,6,3360
"G",3,5,4,3,2,6,7,5,5,9,7,10,NA,9,4,9,18523
"X",3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7,11
"J",3,6,4,4,1,7,6,3,6,14,7,11,1,6,1,7,10253
"Q",6,9,7,11,8,9,10,6,4,3,9,12,4,9,9,14,4245
"Y",5,10,8,8,4,7,10,2,7,6,12,9,2,11,2,8,11627
"G",5,11,6,8,5,5,7,6,5,8,7,12,4,7,5,NA,19244
"Q",2,5,3,7,4,8,6,7,3,7,5,11,2,9,4,10,12532
"Y",2,1,4,2,1,6,10,2,7,8,11,8,1,11,2,7,891
"V",4,6,5,4,6,7,7,4,2,8,7,9,7,10,3,8,15981
"Q",4,5,5,4,4,8,4,4,5,7,4,8,4,6,4,8,12654
"L",1,3,3,2,1,6,4,1,7,7,2,10,0,7,2,8,1117
"Y",6,11,6,8,3,2,11,4,5,12,12,7,2,11,2,6,17966
"T",3,10,5,7,1,7,15,1,6,7,11,8,0,8,0,8,11500
"F",5,9,5,5,3,6,12,3,3,11,6,4,4,10,7,6,6460
"O",4,7,5,5,3,7,6,8,5,7,5,8,3,8,3,8,3991
"A",1,0,2,0,0,7,4,2,0,7,2,8,2,7,1,8,19596
"Q",6,8,6,9,7,8,7,7,2,8,7,10,3,8,NA,7,8797
"N",NA,5,6,4,5,8,8,5,4,8,6,7,6,9,6,3,12052
"D",2,2,3,3,2,7,7,6,6,7,6,5,2,8,3,7,11543
"A",1,0,2,0,0,7,4,2,0,7,2,8,2,7,1,8,15652
NA,3,7,3,5,NA,6,10,8,4,7,3,9,2,6,4,10,4745
"H",3,7,4,4,2,7,7,14,1,7,6,8,3,8,0,8,1882
"F",10,13,8,8,4,8,8,4,7,13,4,6,2,7,7,8,10684
"R",4,10,6,8,5,7,9,5,6,7,6,9,4,6,6,9,5894
"M",3,6,4,4,2,8,6,11,1,6,9,8,7,6,0,8,19866
"J",2,10,3,8,1,14,3,7,5,14,1,10,0,7,0,8,462
"W",8,10,9,8,6,1,10,NA,3,11,11,9,7,10,NA,7,2260
"Y",4,4,6,6,1,7,10,3,2,7,13,8,2,11,0,8,4771
"M",4,6,5,4,3,8,7,12,1,6,9,8,8,6,0,8,17019
"I",1,5,1,4,1,8,7,1,7,7,6,7,0,8,3,7,19896
"F",7,11,10,8,5,6,11,2,7,14,7,4,1,10,2,7,201
"S",6,10,7,8,4,7,7,4,8,11,NA,8,2,9,5,8,13035
"X",7,15,8,8,5,6,8,2,8,11,7,8,4,9,4,6,1547
"T",1,1,2,1,0,7,14,1,5,7,11,8,0,8,0,8,5884
"P",3,7,3,5,2,3,14,7,2,12,7,3,0,10,4,8,3482
"J",1,6,2,4,0,13,3,7,4,13,3,11,0,7,0,8,13140
"U",3,2,4,4,2,6,8,5,7,6,9,9,3,9,1,7,19203
"C",1,3,2,1,1,5,9,4,6,11,8,10,1,9,2,8,1487
"A",4,8,6,7,7,10,8,3,4,6,7,6,5,9,5,5,14257
"S",3,6,4,4,3,8,8,5,7,6,6,7,0,8,8,8,11488
"P",7,8,9,10,11,8,10,2,4,7,9,6,6,9,7,5,9763
"I",2,7,3,5,2,7,9,NA,6,13,6,7,0,8,1,7,12758
"E",2,3,3,5,2,3,7,6,10,7,6,15,0,8,7,8,17181
"P",5,9,6,6,3,5,10,10,5,8,5,5,2,10,4,8,17911
"J",1,6,2,4,1,10,6,1,7,11,3,7,0,7,1,7,NA
"Y",1,1,2,1,0,8,9,2,2,7,12,8,1,10,0,8,3730
"I",1,2,1,3,1,7,7,1,7,7,6,8,0,8,3,8,3069
"X",5,10,6,7,1,7,7,5,4,7,6,8,3,8,4,8,18544
"U",7,11,9,8,5,6,10,6,8,7,10,9,3,9,1,8,15603
"I",1,8,0,5,0,7,7,4,4,7,6,8,0,8,0,8,14301
"T",5,6,7,6,6,7,9,5,8,7,7,7,3,11,7,7,3928
"Q",2,3,3,3,2,8,9,5,2,5,8,10,2,9,5,9,1390
"Z",2,2,3,3,2,7,7,5,9,6,6,8,1,8,7,8,4776
"L",3,5,5,5,4,8,5,5,5,7,7,8,2,8,8,11,9812
"Z",2,4,3,NA,2,8,7,5,9,6,6,7,1,8,7,8,14418
"C",1,1,2,1,1,6,8,6,6,8,7,12,1,9,3,10,816
"M",4,1,5,3,3,9,6,6,4,6,7,6,8,6,2,5,10674
"P",6,10,5,5,2,6,10,6,5,14,5,5,3,9,4,8,4512
"Y",2,4,3,2,1,4,11,2,6,11,10,5,1,11,2,5,19649
"T",4,7,5,5,5,6,8,3,5,7,6,9,5,9,4,8,3051
"I",4,8,5,6,3,9,5,2,7,7,7,5,0,9,4,7,13264
"Q",4,5,5,6,4,8,7,5,2,8,8,10,2,9,5,7,7385
"A",2,4,4,3,2,11,2,2,2,9,2,9,2,6,1,8,13887
"U",5,9,6,8,7,7,7,4,4,6,6,8,5,7,2,7,15827
"F",3,10,4,8,3,1,12,3,4,12,11,8,0,8,2,6,3943
"E",3,5,6,3,3,7,8,2,9,12,6,8,2,8,5,8,13451
"U",5,4,5,7,2,7,4,15,6,7,14,8,3,9,0,8,9626
"X",4,6,6,4,4,7,7,2,6,7,5,8,3,6,6,8,18910
"Z",5,6,4,9,4,9,4,4,3,11,6,9,2,10,8,8,17223
"R",5,11,7,8,6,8,8,5,6,9,4,8,3,7,5,11,5525
"M",6,10,9,8,7,10,6,2,5,9,4,7,8,6,2,8,5134
"S",2,4,4,2,1,6,8,2,7,11,7,8,1,8,4,6,692
"K",4,6,6,6,5,6,7,2,4,6,4,9,4,5,8,8,8326
"N",3,5,5,3,2,6,9,2,4,10,7,7,5,8,1,8,10318
"I",6,10,8,7,5,7,6,2,8,7,6,8,0,9,4,8,771
"X",3,6,5,4,3,8,7,4,9,6,6,8,3,8,6,8,NA
"N",7,9,9,5,3,8,6,3,4,13,6,8,6,8,0,8,10964
"X",5,9,8,6,4,4,9,3,8,11,12,9,3,9,4,5,15936
"H",5,8,5,6,4,7,8,13,1,7,5,8,3,8,0,8,595
"J",1,1,2,2,1,10,6,3,5,12,4,10,1,7,1,7,NA
"J",4,8,3,12,3,8,7,3,3,11,4,5,3,8,7,10,3092
"D",4,10,4,8,3,5,6,10,8,5,4,5,3,8,4,8,5886
"K",6,11,7,6,4,4,9,3,6,10,10,11,5,8,3,6,6928
"R",1,0,1,0,0,6,8,6,3,7,5,7,2,7,4,11,15435
"O",4,6,6,6,4,8,4,4,4,9,3,9,3,7,4,9,15480
"I",3,10,4,8,2,7,7,0,8,14,6,8,0,8,1,8,5678
"Z",7,8,5,11,5,8,5,5,5,11,7,8,3,9,10,7,17372
"T",3,7,5,5,3,7,12,3,7,8,11,7,2,11,1,7,3195
"M",3,6,5,4,4,11,5,3,4,9,3,6,7,6,2,8,13512
"L",6,14,6,8,4,8,4,3,4,12,8,11,4,9,6,10,4773
"K",3,9,4,6,2,4,8,8,2,7,4,11,4,8,2,10,12087
"C",4,8,5,6,2,5,9,8,8,13,9,6,2,10,2,6,801
"J",1,0,1,0,0,12,4,6,3,13,5,11,0,7,0,8,8505
"H",3,5,5,3,3,8,6,3,5,10,6,9,3,7,3,8,1119
"D",5,8,8,6,5,8,8,7,8,10,5,4,3,8,5,8,4152
"O",3,6,4,4,3,8,7,7,5,7,6,8,2,8,3,8,15561
"N",5,9,8,7,4,3,10,3,4,10,10,9,5,8,1,7,18164
"R",3,5,5,3,3,8,8,4,5,9,5,6,3,7,4,9,8121
"P",4,7,5,5,3,6,10,7,3,10,5,4,2,10,3,8,1636
"N",6,11,9,8,6,7,9,2,4,9,6,7,6,8,1,8,14032
"L",3,7,5,5,2,4,2,7,7,1,2,4,1,6,0,6,11807
"D",4,8,5,6,4,6,7,8,7,6,5,4,3,8,4,8,2096
"D",8,14,8,8,4,11,4,3,6,10,2,7,5,7,4,12,1698
"N",3,6,4,4,3,7,9,6,4,7,6,7,5,9,1,7,11097
"L",2,2,3,3,2,4,NA,4,7,2,1,6,1,7,1,6,14827
"L",4,10,4,8,1,0,1,6,6,0,0,6,0,8,0,8,10031
"N",6,8,9,7,9,6,7,4,4,6,5,8,8,9,5,8,4949
"T",2,6,3,4,2,8,12,2,8,5,11,9,1,11,1,8,17649
"R",4,7,4,5,4,5,10,7,3,7,4,9,2,7,5,11,16299
"S",4,8,5,6,4,8,7,7,7,7,6,8,2,9,9,8,15483
"U",4,10,5,8,4,8,6,12,4,7,13,7,3,8,0,9,2331
"G",5,10,6,8,5,7,7,7,6,6,5,9,2,8,6,11,1016
"S",4,10,4,5,2,9,3,3,4,9,2,9,3,6,4,9,14820
"Z",2,1,2,1,1,7,7,3,11,8,6,8,0,8,6,8,19580
"T",7,9,8,8,8,6,8,3,9,8,7,9,3,8,8,6,10133
"G",5,11,6,8,4,6,7,7,7,11,7,11,2,10,4,9,8879
"H",5,5,6,7,3,7,7,15,0,7,6,8,3,8,0,8,19201
"I",1,3,2,2,1,7,8,1,7,13,6,7,0,8,1,7,1423
"A",3,5,5,5,4,9,8,3,4,6,8,7,4,NA,4,5,720
"C",3,10,4,8,3,5,7,6,8,7,5,12,1,8,4,10,3646
"O",4,8,5,6,4,7,7,7,4,10,6,8,3,8,3,8,4409
"P",5,10,7,8,6,6,6,6,4,7,6,9,5,8,7,10,4603
"R",3,4,4,2,3,7,8,5,5,6,5,6,2,7,4,9,6599
"E",4,10,5,8,3,3,7,6,11,7,6,15,0,8,7,6,1176
"O",4,9,5,7,4,7,7,8,5,7,6,8,3,8,3,8,8211
"D",2,1,2,1,1,6,7,8,7,6,6,6,2,8,3,8,7389
"B",3,6,3,4,3,6,6,8,6,6,6,7,2,8,8,9,13066
"C",9,14,6,8,3,7,8,7,7,11,6,7,2,9,6,8,2444
"K",4,11,6,8,5,5,6,5,8,6,7,12,3,8,6,10,9780
"Q",4,8,6,10,7,8,8,8,2,5,6,11,3,8,6,10,13447
"U",3,6,4,4,1,7,5,13,5,7,14,8,3,9,0,8,10099
"A",1,3,2,2,1,9,3,2,1,8,2,9,1,6,1,7,992
"U",6,10,9,8,12,8,8,4,4,6,7,8,10,5,9,8,17296
"S",3,8,4,6,3,7,8,8,7,8,5,7,2,7,9,8,9499
"G",4,7,6,5,4,6,6,5,5,6,6,7,3,NA,4,7,12036
"E",4,8,5,6,4,5,8,3,7,11,8,9,3,8,4,7,13238
"C",3,3,4,4,1,6,7,7,9,7,6,13,1,9,4,9,2854
"C",5,9,6,6,3,5,8,8,9,9,8,13,2,10,4,9,15780
"Q",2,4,3,5,3,8,7,6,2,8,7,9,2,8,4,9,3925
"E",3,9,4,6,4,3,8,5,9,7,7,14,0,8,6,9,5052
"A",2,7,4,5,2,12,2,4,3,11,2,9,2,6,3,9,1042
"H",3,4,5,6,5,8,11,4,2,8,7,6,4,11,8,4,16182
"E",6,11,8,8,6,4,9,2,8,10,8,9,3,8,5,5,2935
"D",3,5,5,4,3,9,6,4,6,10,4,5,2,8,3,8,12795
"H",7,10,10,8,8,6,8,3,6,10,8,8,4,9,4,7,11386
"X",4,9,6,7,4,8,7,4,9,6,6,6,3,8,7,7,1864
"E",3,4,3,6,2,3,7,6,10,7,6,14,0,8,7,8,7841
"B",3,6,4,4,4,8,8,6,6,7,6,6,2,8,6,9,11305
"W",10,10,10,5,4,2,10,4,2,11,12,8,8,10,0,7,17290
"J",2,7,3,5,3,9,7,1,5,10,4,7,0,7,1,6,4709
"X",3,4,4,3,2,8,7,3,9,6,6,6,2,8,6,8,3549
"V",2,4,4,2,1,9,12,2,3,5,11,9,2,11,1,8,9086
"K",10,12,10,7,4,9,8,4,8,9,1,5,5,6,3,9,4593
"O",4,7,4,5,3,9,6,7,5,10,4,10,3,8,3,8,1996
"U",4,4,5,6,2,7,3,14,6,7,13,8,3,9,0,8,7823
"L",1,0,1,0,0,2,2,5,4,1,2,6,0,8,0,8,15706
"K",7,12,7,6,3,5,8,3,7,9,9,10,6,8,3,7,13923
"L",6,10,8,8,9,6,7,3,6,7,7,11,6,12,6,7,18964
"T",3,8,4,6,2,9,13,0,5,NA,10,8,0,8,0,8,1682
"D",1,0,2,1,1,6,7,8,6,6,6,6,2,8,3,8,8493
"O",3,3,4,4,2,8,7,8,8,7,6,8,3,8,4,8,9089
"F",2,3,2,2,1,6,10,4,5,10,9,5,1,10,3,6,8604
"B",3,7,4,5,4,9,7,3,5,7,6,7,3,9,4,8,19562
"H",4,7,6,5,4,10,5,4,6,10,2,7,3,8,3,9,10190
"I",1,5,2,3,1,7,7,0,7,13,6,8,0,8,1,7,10953
"I",2,6,3,4,1,7,7,0,7,13,6,8,0,8,1,8,4940
"A",5,13,5,7,4,12,2,4,1,11,3,11,4,NA,4,11,6688
"I",0,8,0,5,0,7,7,4,4,7,6,8,0,8,0,8,16137
"C",4,7,5,5,5,5,7,3,5,NA,6,10,5,10,3,8,10590
"L",4,9,5,6,2,7,4,0,9,9,2,10,0,7,2,8,8691
"M",11,14,11,8,6,9,11,6,4,4,6,9,11,12,3,7,17531
"W",3,1,3,2,1,8,8,4,0,7,8,8,7,10,0,8,3644
"Q",7,9,10,8,7,5,4,4,5,4,3,7,4,7,7,6,6184
"C",3,5,4,3,2,5,8,5,7,12,9,11,1,10,2,7,12745
"C",8,13,5,7,3,6,10,6,9,11,8,10,2,8,5,9,11388
"G",2,4,3,3,2,6,7,5,5,9,7,10,2,9,4,9,4391
"R",2,5,4,4,3,7,8,5,5,8,6,7,3,7,5,10,8541
"J",5,9,4,6,3,9,8,2,3,12,4,5,2,9,6,9,16172
"I",1,7,1,5,1,8,7,0,8,7,6,7,0,8,3,7,14884
"S",3,4,4,6,2,8,7,6,9,4,6,7,0,8,NA,8,9973
"O",6,11,6,9,5,8,6,8,5,10,5,9,4,9,5,6,16988
"L",3,6,4,4,3,6,7,9,5,6,6,9,3,8,5,11,7347
"Z",1,1,2,3,1,8,7,5,8,6,6,7,1,8,7,8,8244
"P",4,8,6,12,11,8,8,5,0,8,7,7,6,10,5,8,12133
"H",4,6,4,4,2,7,5,14,1,7,9,8,3,9,0,8,15049
"U",1,0,2,1,0,7,6,10,4,7,12,8,3,10,0,8,3442
"J",0,0,1,0,0,12,4,5,3,12,5,11,0,7,0,8,2364
"I",1,1,1,1,0,NA,7,2,6,7,6,8,0,8,2,8,17793
"M",7,7,10,5,7,5,7,3,5,10,10,10,11,8,4,8,17267
"S",3,5,6,3,2,7,8,2,7,11,6,6,1,9,4,6,11178
"E",4,4,4,6,3,3,8,6,11,7,5,14,0,8,7,7,12406
"E",3,6,4,4,3,6,7,6,8,6,4,9,3,8,6,9,6074
"V",2,4,4,3,1,7,12,2,2,7,11,9,2,10,1,8,2781
"I",5,11,6,9,4,9,5,2,5,6,7,5,1,10,4,7,2990
"U",4,7,6,6,5,7,NA,4,4,6,6,9,4,9,1,8,9268
"S",1,3,3,2,1,8,7,3,7,10,7,8,1,9,5,8,14484
"I",3,10,4,8,2,7,7,0,8,13,6,8,0,8,1,8,1008
"U",8,9,9,NA,6,4,7,5,8,9,7,9,6,8,4,3,4444
"F",2,3,3,2,1,6,NA,3,5,12,7,4,1,9,1,7,12508
"X",4,8,6,6,3,5,8,2,8,10,10,9,3,8,3,6,5301
"H",9,12,8,6,4,6,6,6,4,9,11,10,7,11,5,9,15341
"A",3,7,5,5,3,11,3,2,2,8,2,9,3,4,2,8,305
"H",5,7,7,9,6,10,10,3,2,7,7,8,3,10,8,9,11933
"E",4,9,4,6,3,3,7,6,11,7,6,15,0,8,7,7,13344
"C",2,1,2,2,1,6,7,6,10,7,6,14,0,8,4,9,12807
"J",3,5,5,4,2,9,6,3,6,14,5,10,1,6,0,7,19433
"G",5,10,6,NA,3,7,5,8,10,7,5,12,1,9,5,10,3293
"L",4,9,5,7,4,7,4,1,7,8,2,9,NA,6,2,8,15146
"T",4,9,4,4,1,6,10,2,7,12,7,5,1,10,3,5,4029
"N",8,12,7,6,3,5,9,4,6,4,4,11,5,10,2,7,10662
"A",4,9,6,6,3,11,2,3,3,10,2,9,2,6,3,8,11649
"M",6,10,8,8,8,6,6,6,5,7,8,11,8,6,2,9,9329
"U",4,7,6,5,3,6,9,6,8,8,10,9,3,9,1,8,14097
"E",4,8,5,6,3,3,7,6,11,7,7,14,0,8,7,7,10525
"I",2,11,2,9,2,7,7,0,8,7,6,8,0,8,3,8,14889
"W",3,1,5,3,3,7,11,2,2,7,9,8,7,11,0,8,11939
"Z",3,5,6,4,3,7,7,2,10,12,6,8,1,8,5,7,12324
"V",3,4,5,3,2,4,12,3,3,9,11,7,2,11,1,8,11833
"D",2,4,3,2,2,7,7,6,6,7,7,5,2,8,2,7,12140
"Z",2,5,3,3,2,7,7,5,9,6,6,8,2,8,7,8,17847
"D",4,8,4,6,2,5,6,10,8,5,4,5,3,8,4,8,12311
"Y",6,8,8,10,10,10,10,6,3,6,7,7,6,11,8,3,1278
"K",4,6,6,4,3,3,9,3,6,10,11,11,3,8,3,6,8463
"M",4,7,7,5,8,7,7,3,2,7,5,8,8,5,2,7,3666
"Q",1,2,2,3,2,7,7,5,2,8,8,9,2,9,4,9,717
"I",5,9,7,6,4,6,6,3,7,7,6,12,0,8,4,9,11115
"V",7,8,9,7,10,8,7,4,5,7,6,8,7,10,8,5,15925
"D",3,6,5,4,3,9,7,5,7,10,5,4,3,8,3,8,4197
"A",2,7,4,4,1,7,6,3,1,6,0,8,2,6,1,8,16245
"B",4,9,4,7,4,6,7,9,7,7,6,7,2,8,9,10,11674
"A",2,6,3,4,2,9,5,2,0,8,2,8,2,6,1,8,15786
"L",NA,5,5,5,4,8,7,4,5,7,6,8,3,8,8,11,6419
"U",5,5,6,4,3,4,8,5,8,10,9,9,3,9,2,5,15775
"M",6,11,7,8,7,8,6,11,1,7,8,8,9,4,1,8,1290
"N",4,8,6,6,4,7,9,2,4,9,5,6,5,9,1,7,6122
"O",3,4,4,3,2,7,7,6,4,9,6,8,2,8,2,8,5899
"A",4,10,5,7,4,7,5,3,0,7,1,8,2,7,3,8,16712
"G",4,5,6,4,5,8,9,5,3,7,7,10,6,10,6,9,12252
"U",4,9,6,7,3,7,9,6,7,6,10,9,3,9,1,8,14828
"L",3,7,5,5,4,7,6,7,5,6,6,8,3,8,4,10,16680
"B",3,5,5,4,3,10,6,2,6,10,4,7,2,8,4,10,8530
"H",4,8,5,6,5,7,10,8,5,8,5,6,3,6,7,11,96
"Q",5,8,7,7,5,7,4,4,4,5,3,8,3,7,5,8,18011
"J",6,7,8,8,7,8,8,5,7,7,5,8,4,10,10,8,19946
"D",4,7,6,5,5,7,7,5,6,7,6,8,6,8,3,7,18362
"C",3,4,4,2,1,5,8,5,7,10,8,13,1,9,3,8,18450
"H",3,6,4,4,5,9,9,4,3,6,7,7,6,9,5,6,17910
"W",8,11,8,8,7,NA,10,4,NA,8,7,6,11,12,4,4,13877
"N",2,3,2,1,1,7,8,5,4,7,6,7,4,9,1,6,10844
"D",4,4,5,6,3,5,6,10,9,5,5,5,3,8,4,8,13612
"K",5,9,8,7,4,4,9,2,7,10,10,11,3,8,3,6,1901
"A",3,3,5,5,2,9,4,3,1,8,1,8,2,7,2,8,16501
"F",6,9,8,6,5,10,8,2,6,13,4,5,3,9,3,9,11954
"X",5,9,7,8,8,7,8,2,5,8,6,8,4,6,8,9,15513
"P",4,9,6,6,4,7,9,4,4,12,5,3,1,10,3,8,6559
